State,Code,Name,RegisteredVoters,EligibleVoters,NoOfPollingUnits,NoOfWards,NoOfLGAs
Adamawa,FC/015/AD,MAIHA/MUBI NORTH/MUBI SOUTH,292133,254358,541,31,3
Adamawa,FC/014/AD,MADAGALI/MICHIKA,203947,185484,383,26,2
Adamawa,FC/013/AD,GUYUK/SHELLENG,145885,136141,274,20,2
Adamawa,FC/012/AD,GOMBI/HONG,227473,217357,405,22,2
Adamawa,FC/011/AD,MAYO-BELWA/GANYE/JADA/TOUNGO,363355,338103,720,43,4
Adamawa,FC/010/AD,FUFORE/SONG,240810,229737,481,22,2
Adamawa,FC/009/AD,DEMSA/NUMAN/LAMURDE,269935,255801,499,30,3
Abia,FC/008/AB,UKWA EAST/UKWA WEST,109865,107851,214,20,2
Abia,FC/007/AB,UMUAHIA NORTH/UMUAHIA SOUTH/IKWUANO,386380,344178,694,32,3
Abia,FC/006/AB,OBINGWA/UGWUNAGBO/OSISIOMA,405948,376748,773,31,3
Abia,FC/005/AB,ISUIKWUATO/UMUNNEOCHI,154506,145442,302,22,2
Abia,FC/004/AB,ISIALA NGWA NORTH/ISIALA NGWA SOUTH,205725,197195,379,20,2
Abia,FC/003/AB,BENDE,106170,105089,214,13,1
Abia,FC/002/AB,AROCHUKWU/OHAFIA,229842,225412,465,22,2
Abia,FC/001/AB,ABA NORTH/ABA SOUTH,522372,447356,1021,24,2
